OWNERID,ADOPTIONNUMBER,ANIMALID,ANIMALNAME,BASECOLOURID,BREEDID,BREEDNAME,DATEOFBIRTH,SEX,COMBITESTRESULT,FLVRESULT,DECLAWED,SHELTERLOCATION,DATEBROUGHTIN,MOSTRECENTENTRYDATE,ANIMALAGE,WEIGHT
11387,16243,9059,Bodie,63,261,Domestic Short Hair,4/13/18,1,1,2,0,35,4/15/20,4/15/20,3 years 5 months.,10.9
16954,23876,12660,Vampire Bill Compton,1,261,Domestic Short Hair,7/22/21,1,1,1,0,32,10/6/21,10/6/21,8 months.,6.8
16224,23469,12461,Wilson Bilson,68,261,Domestic Short Hair,8/23/18,1,2,1,0,19,8/27/21,8/27/21,3 years 1 month.,13
13586,19248,10411,Buckle,74,252,Domestic Medium Hair,9/3/20,1,1,1,0,35,9/18/20,9/18/20,8 months.,2.3
15306,21566,11636,Quellcrist Falconer,82,252,Domestic Medium Hair,3/22/21,0,1,1,0,32,4/25/21,4/25/21,8 months.,2.3
13137,18905,10065,Rocky,75,261,Domestic Short Hair,7/28/20,0,1,1,0,19,8/4/20,8/4/20,8 months.,2.3
17299,24249,3149,Rei (Winnie),6,261,Domestic Short Hair,4/24/17,0,1,1,0,34,6/5/17,12/31/21,4 years 9 months.,9.5
17079,23987,3149,Rei (Winnie),6,261,Domestic Short Hair,4/24/17,0,1,1,0,34,6/5/17,12/31/21,4 years 9 months.,9.5
4748,5736,3149,Rei (Winnie),6,261,Domestic Short Hair,4/24/17,0,1,1,0,34,6/5/17,12/31/21,4 years 9 months.,9.5
10311,19554,9364,Growlithe,3,261,Domestic Short Hair,4/1/20,1,1,1,0,11,5/27/20,8/31/20,1 year 3 months.,7.5
11980,16935,9364,Growlithe,3,261,Domestic Short Hair,4/1/20,1,1,1,0,11,5/27/20,8/31/20,1 year 3 months.,7.5
16473,23224,12527,Mr. Beast Nuggets,63,261,Domestic Short Hair,9/1/19,1,1,1,0,8,9/1/21,9/1/21,2 years 0 months.,9.4
13600,19328,10189,McDade,74,261,Domestic Short Hair,8/3/20,1,1,1,0,35,8/31/20,8/31/20,8 months.,5.6
9294,13346,7322,Tangelo,69,261,Domestic Short Hair,4/25/19,1,1,1,0,32,6/13/19,6/13/19,2 years 3 months.,4.4
15677,22004,11979,Beta,79,252,Domestic Medium Hair,2/26/21,1,1,1,0,34,6/22/21,6/22/21,8 months.,4.9
14387,20151,11053,Daisy Mason,68,261,Domestic Short Hair,10/7/20,0,1,1,0,32,1/13/21,1/13/21,8 months.,3.7
15940,22440,12022,Slinky Dog,1,261,Domestic Short Hair,5/10/21,1,1,1,0,31,6/28/21,6/28/21,8 months.,2.1
17664,24675,12776,Cinnamon Bun,69,261,Domestic Short Hair,11/2/09,0,1,1,0,19,11/8/21,3/31/22,12 years 5 months.,11.8
17547,24581,12776,Cinnamon Bun,69,261,Domestic Short Hair,11/2/09,0,1,1,0,19,11/8/21,3/31/22,12 years 5 months.,11.8
699,1595,548,Serena,68,261,Domestic Short Hair,2/10/13,0,1,1,0,11,2/10/15,2/10/15,7 years 9 months.,0
16267,24018,12947,Christmas Spruce,68,261,Domestic Short Hair,12/15/20,0,1,1,0,19,12/20/21,12/20/21,1 year 0 months.,5.3
11495,16283,8928,Gordita,62,252,Domestic Medium Hair,3/5/18,0,1,1,0,2,3/25/20,3/25/20,3 years 5 months.,10
106,167,91,Snow Drop (Leo),74,261,Domestic Short Hair,2/1/14,1,1,1,0,4,3/7/14,3/7/14,7 years 6 months.,0
10626,15243,8534,Mistletoe (Willow Sparkles),99,261,Domestic Short Hair,8/5/19,0,1,1,0,35,12/12/19,12/12/19,2 years 0 months.,4.87
9689,13993,7526,Truman,64,261,Domestic Short Hair,5/14/19,0,1,1,0,32,7/11/19,7/11/19,2 years 3 months.,3.26
9689,13992,7716,Bocce,3,261,Domestic Short Hair,4/23/19,0,1,1,0,32,8/3/19,8/3/19,2 years 4 months.,4.85
11314,16096,8695,Snapdragon,3,261,Domestic Short Hair,1/10/19,0,1,1,0,8,1/17/20,3/8/20,2 years 3 months.,8.8
646,15713,8695,Snapdragon,3,261,Domestic Short Hair,1/10/19,0,1,1,0,8,1/17/20,3/8/20,2 years 3 months.,8.8
13137,18904,9980,Canyon,74,261,Domestic Short Hair,7/28/20,1,1,1,0,19,8/4/20,8/4/20,8 months.,3.1
14315,20074,10974,Waffle,81,261,Domestic Short Hair,7/31/20,0,1,1,0,10,1/6/21,1/6/21,8 months.,6.1
16398,23133,11984,Maud Leonora Menton,6,261,Domestic Short Hair,12/24/19,0,1,1,0,10,6/23/21,6/23/21,1 year 8 months.,8.8
16487,23240,12550,Winged Avenger (Moo Shu),3,261,Domestic Short Hair,4/1/21,1,1,1,0,19,9/2/21,9/2/21,8 months.,5.6
16611,23428,12126,Piedra Volada (Roomba),3,252,Domestic Medium Hair,4/29/21,0,1,1,0,32,7/8/21,7/8/21,8 months.,5
17067,24016,12535,Zoey 101,64,252,Domestic Medium Hair,9/1/06,0,1,1,1,19,9/1/21,9/1/21,15 years 4 months.,8.6
17828,25049,13371,Paddles,63,243,Domestic Long Hair,8/23/21,0,1,1,0,19,4/28/22,4/28/22,8 months.,5.2
18281,25658,13608,Smitty Kitty,67,261,Domestic Short Hair,4/1/22,1,1,1,0,32,6/13/22,6/13/22,15 weeks.,2.8
14812,20699,11285,Cloudburst,68,261,Domestic Short Hair,7/25/20,0,1,1,0,8,2/26/21,2/26/21,8 months.,6.6
3527,4292,1354,Sparkler,3,261,Domestic Short Hair,5/12/16,1,1,1,0,2,7/7/16,7/7/16,5 years 1 month.,6.63
9032,19874,9342,Rusty Viking,69,261,Domestic Short Hair,5/22/10,1,1,1,0,24,5/22/20,5/22/20,10 years 0 months.,5.6
17067,24017,12534,Aly McBeal,63,252,Domestic Medium Hair,9/1/06,0,1,1,1,19,9/1/21,9/1/21,15 years 4 months.,4.7
14102,19798,10831,David Bowie,102,261,Domestic Short Hair,8/3/20,1,1,1,0,35,11/23/20,11/23/20,8 months.,5.6
16045,22571,11969,Finnie,96,261,Domestic Short Hair,5/7/21,1,1,1,0,32,6/18/21,6/18/21,8 months.,2.9
10801,21640,11690,Wattson (Juniper),85,261,Domestic Short Hair,3/23/21,0,1,1,0,19,5/4/21,5/4/21,8 months.,2.8
15667,22075,11612,Primrose,97,261,Domestic Short Hair,4/9/21,0,1,1,0,32,4/19/21,4/19/21,8 months.,2.1
17403,24401,13005,Evelyn Dutton,1,261,Domestic Short Hair,1/20/21,0,1,1,0,10,1/27/22,1/27/22,1 year 1 month.,7.3
3759,4492,1498,Salt,90,261,Domestic Short Hair,8/17/16,1,1,1,0,10,9/28/16,12/8/16,4 years 10 months.,4.46
3688,4462,1498,Salt,90,261,Domestic Short Hair,8/17/16,1,1,1,0,10,9/28/16,12/8/16,4 years 10 months.,4.46
17109,24019,12888,Paul Hollywood,74,261,Domestic Short Hair,11/1/16,1,1,1,0,8,11/30/21,11/30/21,5 years 1 month.,10.9
7142,10156,5502,Chase,69,261,Domestic Short Hair,6/14/18,1,1,1,0,19,8/3/18,8/3/18,1 year 2 months.,3.03
3631,4390,1504,Marcus,3,261,Domestic Short Hair,3/15/16,1,1,1,0,8,10/19/16,10/19/16,3 years 9 months.,7.13
16426,23465,12621,Princess Long Tail (Daisy),64,261,Domestic Short Hair,11/28/20,0,1,1,0,10,9/29/21,9/29/21,10 months.,7.7
17793,24848,13235,Reeses,94,261,Domestic Short Hair,3/29/20,1,1,1,0,9,3/29/22,3/29/22,2 years 1 month.,7.4
15670,21971,11833,Lemoyne,63,261,Domestic Short Hair,5/19/20,1,1,1,0,19,6/2/21,6/2/21,1 year 1 month.,6.7
13661,19303,10531,Commander Roman Solo,68,252,Domestic Medium Hair,8/13/20,1,1,1,0,35,10/9/20,10/9/20,8 months.,2.4
17078,23985,12924,Egg Drop,79,261,Domestic Short Hair,6/1/21,1,1,1,0,19,12/7/21,12/7/21,8 months.,4.6
18301,25714,13447,Whiskey,63,261,Domestic Short Hair,5/13/17,0,1,2,0,11,5/12/22,5/12/22,5 years 2 months.,4.7
4308,5015,2804,Renoir,74,261,Domestic Short Hair,7/1/16,1,1,1,0,5,3/9/17,3/9/17,5 years 0 months.,8
17760,24903,13347,Canary Yellow,79,261,Domestic Short Hair,4/23/19,1,1,1,0,19,4/23/22,4/23/22,3 years 0 months.,10
6513,24410,13094,Valentino,62,252,Domestic Medium Hair,2/18/20,1,1,2,0,24,2/18/22,2/18/22,2 years 0 months.,8.2
16118,22661,12031,Buzz Lightyear,90,261,Domestic Short Hair,5/3/21,1,1,1,0,31,6/28/21,6/28/21,8 months.,2.6
377,944,68,Charlotte,3,261,Domestic Short Hair,3/1/03,0,1,1,0,6,5/1/03,5/1/03,18 years 3 months.,0
16568,23353,7011,Yuffie,62,252,Domestic Medium Hair,4/16/18,0,2,1,0,31,5/4/19,8/19/21,3 years 5 months.,8.6
8630,12242,7011,Yuffie,62,252,Domestic Medium Hair,4/16/18,0,2,1,0,31,5/4/19,8/19/21,3 years 5 months.,8.6
16609,23390,12303,Push-Up (Cinnabon),69,252,Domestic Medium Hair,4/23/21,0,1,1,0,32,8/13/21,9/14/21,8 months.,4.1
16244,23072,12303,Push-Up (Cinnabon),69,252,Domestic Medium Hair,4/23/21,0,1,1,0,32,8/13/21,9/14/21,8 months.,4.1
13250,18920,10279,Sunnyvale (Leo),96,261,Domestic Short Hair,7/15/20,1,1,1,0,35,9/9/20,9/9/20,1 year 2 months.,3
10103,14571,8135,Charlotte,6,252,Domestic Medium Hair,6/7/19,0,1,1,0,31,10/4/19,10/4/19,1 year 11 months.,4.57
8081,18677,8741,Jasmine,74,261,Domestic Short Hair,1/21/09,0,1,1,1,19,2/17/20,6/24/20,12 years 4 months.,9.33
11943,17019,8741,Jasmine,74,261,Domestic Short Hair,1/21/09,0,1,1,1,19,2/17/20,6/24/20,12 years 4 months.,9.33
10442,19575,10817,Dionne Warwick,62,261,Domestic Short Hair,8/31/20,0,1,1,0,19,11/23/20,11/23/20,9 months.,3.1
10389,22774,12222,The Real Roxanne,75,261,Domestic Short Hair,5/13/21,0,1,1,0,19,7/22/21,7/22/21,8 months.,3.4
12066,22621,12040,Mike Wazowski (Jason),1,261,Domestic Short Hair,5/17/21,1,1,1,0,31,6/28/21,6/28/21,8 months.,2
15318,22702,12261,Voyd,74,261,Domestic Short Hair,6/1/21,0,1,1,0,31,7/27/21,7/27/21,8 months.,3.1
12413,22646,12026,Dolly (Jo),67,261,Domestic Short Hair,5/3/21,0,1,1,0,19,6/28/21,6/28/21,8 months.,2.6
5714,7671,3393,Charlotte,68,252,Domestic Medium Hair,7/14/16,0,1,1,0,9,7/31/17,7/31/17,4 years 10 months.,8.9
16642,23443,12462,Alison Sandra Gator,79,261,Domestic Short Hair,6/29/21,0,1,1,0,19,8/23/21,8/23/21,8 months.,3.8
10551,15132,8241,Chloe,3,261,Domestic Short Hair,10/10/17,0,1,1,0,19,10/26/19,10/26/19,3 years 7 months.,6
17223,24140,6475,Gatsby,94,261,Domestic Short Hair,8/13/18,1,1,1,1,19,12/27/18,11/16/21,3 years 5 months.,17.5
9714,18118,6475,Gatsby,94,261,Domestic Short Hair,8/13/18,1,1,1,1,19,12/27/18,11/16/21,3 years 5 months.,17.5
7945,11352,6475,Gatsby,94,261,Domestic Short Hair,8/13/18,1,1,1,1,19,12/27/18,11/16/21,3 years 5 months.,17.5
16217,22828,12274,Stir-Fry,1,261,Domestic Short Hair,3/10/21,1,1,1,0,32,7/28/21,7/28/21,8 months.,5.9
16496,23233,12400,Charcoal Stan,74,261,Domestic Short Hair,7/2/21,1,1,1,0,32,8/13/21,8/13/21,8 months.,2.9
907,2222,628,Firefly,84,315,Siamese Mix,5/1/13,1,1,1,0,9,4/30/15,4/30/15,8 years 1 month.,8.58
16737,23572,12651,Debbie Pelt,75,261,Domestic Short Hair,6/13/21,0,1,1,0,32,10/6/21,10/6/21,8 months.,4.5
16004,22480,12112,Tin Mine,69,261,Domestic Short Hair,5/13/21,0,1,1,0,31,7/8/21,7/8/21,8 months.,3.3
16211,24506,13104,Constantine,1,261,Domestic Short Hair,8/20/21,0,1,1,0,10,2/16/22,2/16/22,8 months.,5.9
16873,23779,12823,Hamburgler,3,261,Domestic Short Hair,7/13/15,1,1,1,0,16,11/11/21,11/11/21,6 years 4 months.,11.9
17220,24135,12923,Lobster Bisque,74,261,Domestic Short Hair,7/15/21,0,1,1,0,19,12/12/21,12/12/21,8 months.,5.9
12525,17653,9886,Topaz,69,261,Domestic Short Hair,5/14/20,0,1,1,0,35,7/23/20,7/23/20,8 months.,2.6
14807,20799,11063,Brunhilda (Emmy),81,261,Domestic Short Hair,1/19/20,0,1,1,0,19,1/28/21,1/28/21,1 year 11 months.,6.2
16644,23787,12713,Bride of Frankenstein,67,261,Domestic Short Hair,8/19/21,0,1,1,0,32,10/14/21,10/14/21,8 months.,4.2
13398,19140,10133,Andy Bernard,75,261,Domestic Short Hair,8/12/20,1,1,1,0,32,8/23/20,8/23/20,8 months.,2.6
8900,12708,7191,Brick,68,261,Domestic Short Hair,2/5/19,1,1,1,0,32,5/31/19,5/31/19,2 years 5 months.,4.73
1387,15910,7298,Peter,67,261,Domestic Short Hair,6/9/18,1,1,1,0,3,6/17/19,6/17/19,3 years 2 months.,10.52
11140,23284,12357,Tahoe,82,261,Domestic Short Hair,7/23/21,0,1,1,0,34,8/6/21,8/6/21,8 months.,2.4
18134,25480,13585,Erica Sinclair,69,261,Domestic Short Hair,4/15/22,0,1,1,0,32,6/8/22,6/8/22,13 weeks.,2.2
14155,19858,10777,Fialla Sweetberry,3,252,Domestic Medium Hair,9/21/20,0,1,1,0,35,11/19/20,11/19/20,8 months.,3.4
13853,19589,10517,Ellie,1,261,Domestic Short Hair,9/23/20,0,1,1,0,35,10/3/20,10/3/20,8 months.,2.6
15466,21665,11809,Sticky Toffee Cookie,66,243,Domestic Long Hair,11/9/20,0,1,1,0,8,5/25/21,5/25/21,8 months.,6.3
14366,20138,11021,Superman,97,261,Domestic Short Hair,9/17/20,1,1,1,0,32,1/13/21,1/13/21,1 year 4 months.,4.2
17130,24047,12862,Beer Mustard,68,252,Domestic Medium Hair,11/18/20,1,1,1,0,2,11/18/21,11/18/21,1 year 1 month.,9.7
5835,25514,13591,Max Mayfield,3,243,Domestic Long Hair,3/24/22,0,1,1,0,32,6/8/22,6/8/22,16 weeks.,3.1
18223,25569,13590,Lucas Sinclair,89,261,Domestic Short Hair,3/24/22,1,1,1,0,32,6/8/22,6/8/22,16 weeks.,2.6
15606,21885,11852,Desert Mist (Colby),69,261,Domestic Short Hair,4/15/21,1,1,1,0,32,5/20/21,5/20/21,8 months.,2.3
16517,23265,12523,Schwarz,62,261,Domestic Short Hair,5/10/21,1,1,1,0,34,8/30/21,8/30/21,8 months.,4.7
12970,18331,10090,Avery,74,261,Domestic Short Hair,8/20/17,1,2,2,0,32,8/20/20,8/20/20,3 years 2 months.,11.8
14977,21227,11589,Gubbins,1,261,Domestic Short Hair,7/13/20,1,1,1,0,10,4/15/21,4/15/21,9 months.,9.1
10900,15606,8707,Common Welsh Green (Tommy),68,261,Domestic Short Hair,7/1/19,1,1,1,0,31,1/17/20,1/17/20,10 months.,5.69
7403,10546,5727,Eleanor (Lobster),69,261,Domestic Short Hair,3/31/18,0,1,1,0,10,9/19/18,9/19/18,3 years 1 month.,6.24
16893,23770,12699,Beetlejuice (Lennox),90,252,Domestic Medium Hair,8/15/21,1,1,1,0,32,10/11/21,10/11/21,8 months.,3.1
17077,23986,12807,Gerkin,3,261,Domestic Short Hair,11/10/20,1,1,1,0,19,11/10/21,11/10/21,1 year 1 month.,9.3
15982,22438,12121,Pawtucket,62,252,Domestic Medium Hair,4/15/21,1,1,1,0,32,7/8/21,7/8/21,8 months.,3.1
16493,23399,12575,Daydream Believer,90,261,Domestic Short Hair,5/27/21,1,1,1,0,32,9/8/21,9/8/21,8 months.,5.8
12791,18020,10098,Babs (Miska),3,243,Domestic Long Hair,5/28/20,0,1,1,0,35,8/20/20,8/20/20,11 months.,0
15549,21866,11657,Polar Bear,83,315,Siamese Mix,4/1/21,1,1,1,0,32,4/28/21,4/28/21,8 months.,2.6
17342,24303,12895,Cheetara,68,261,Domestic Short Hair,12/2/18,0,1,1,0,9,12/12/21,12/12/21,3 years 2 months.,9.3
13704,24875,13284,Thistle Blossom,3,261,Domestic Short Hair,4/12/21,0,1,1,0,19,4/12/22,4/12/22,1 year 0 months.,7.6
10994,23877,9355,Cora,64,261,Domestic Short Hair,5/24/10,0,1,1,0,11,6/3/20,6/3/20,11 years 7 months.,8.9
12288,25422,13465,Patu Digua,68,261,Domestic Short Hair,4/4/22,1,1,1,0,32,5/14/22,5/14/22,15 weeks.,3.1
10695,21125,11482,Nora Tyler Bing,64,261,Domestic Short Hair,3/24/19,0,1,1,0,19,3/30/21,3/30/21,2 years 2 months.,7.1
5563,7717,1524,Itty Bitty (Bertha),3,261,Domestic Short Hair,10/6/12,0,1,1,0,9,3/31/17,3/31/17,8 years 8 months.,9.65
12885,24728,13209,Sunny Sunshine,81,261,Domestic Short Hair,1/24/21,0,1,1,0,10,3/21/22,3/21/22,1 year 2 months.,6.9
15113,21106,11438,Sheldon Cooper,1,261,Domestic Short Hair,2/1/21,1,1,1,0,32,3/15/21,3/15/21,8 months.,2.3
16987,23889,12716,Sweet Dreams,74,261,Domestic Short Hair,10/15/20,0,1,1,0,8,10/12/21,10/12/21,1 year 1 month.,7.8
16379,23205,12591,Banana Slug,68,261,Domestic Short Hair,11/19/20,0,0,0,0,24,9/16/21,9/16/21,10 months.,0
17386,24341,11916,Flamehead,69,261,Domestic Short Hair,6/7/11,1,1,1,1,5,6/7/21,6/7/21,10 years 8 months.,8.8
16379,23207,12592,Prickly Snail,68,261,Domestic Short Hair,12/1/20,1,0,0,0,24,9/16/21,9/16/21,9 months.,0
16865,23733,12683,Mama Mia,68,261,Domestic Short Hair,8/27/21,0,1,1,0,19,10/8/21,10/8/21,8 months.,2.5
16211,22825,12388,Michael Myers,68,261,Domestic Short Hair,4/8/21,1,2,1,0,9,8/12/21,8/12/21,8 months.,4.9
18142,25460,13495,White Snakeroot,69,252,Domestic Medium Hair,5/20/21,0,1,1,0,19,5/18/22,6/26/22,1 year 1 month.,8.3
17776,25197,13495,White Snakeroot,69,252,Domestic Medium Hair,5/20/21,0,1,1,0,19,5/18/22,6/26/22,1 year 1 month.,8.3
16124,22720,12348,Becky Cavatappi,64,261,Domestic Short Hair,4/15/21,0,1,1,0,19,8/12/21,8/12/21,8 months.,4.1
9273,22495,11701,Big Lonely Doug,74,252,Domestic Medium Hair,5/5/20,1,1,1,0,19,5/6/21,5/6/21,1 year 3 months.,9.9
15421,21620,11755,Maiden,69,261,Domestic Short Hair,3/24/21,0,1,1,0,31,5/25/21,5/25/21,8 months.,2.2
6297,24892,12463,Molly Collins,79,261,Domestic Short Hair,6/29/21,0,1,1,0,9,8/23/21,4/29/22,10 months.,8.5
16461,23371,12463,Molly Collins,79,261,Domestic Short Hair,6/29/21,0,1,1,0,9,8/23/21,4/29/22,10 months.,8.5
4164,4884,2594,Reginald,3,261,Domestic Short Hair,7/1/16,1,0,0,0,24,1/3/17,1/3/17,4 years 9 months.,6.9
16014,23161,12593,John Hammond,68,261,Domestic Short Hair,9/16/19,1,1,1,0,2,9/16/21,9/16/21,2 years 0 months.,8.1
17472,24450,4429,Maxine,90,261,Domestic Short Hair,4/28/17,0,1,1,0,3,1/11/18,3/1/22,4 years 10 months.,7.9
6125,8420,4429,Maxine,90,261,Domestic Short Hair,4/28/17,0,1,1,0,3,1/11/18,3/1/22,4 years 10 months.,7.9
15453,21656,11829,Coffee Coffee BuzzBuzzBuzz,1,252,Domestic Medium Hair,3/16/21,1,1,1,0,32,5/18/21,5/18/21,8 months.,3.3
12651,17806,9877,Moonblot,6,243,Domestic Long Hair,1/23/20,0,1,1,0,2,7/23/20,7/23/20,1 year 2 months.,5
15447,21697,11762,Barnyard,69,261,Domestic Short Hair,3/24/21,1,1,1,0,32,5/12/21,5/12/21,8 months.,2.3
13763,20761,11241,Flower,3,243,Domestic Long Hair,12/31/20,0,1,1,0,32,2/11/21,2/11/21,8 months.,2.3
14869,20796,11256,Fufulupa,6,261,Domestic Short Hair,2/22/19,0,1,1,0,3,2/26/21,2/26/21,2 years 2 months.,7
15234,21244,11533,Stephen Hawking,96,252,Domestic Medium Hair,4/1/19,1,1,1,0,2,4/7/21,4/7/21,2 years 1 month.,11.1
16022,22497,12014,Axel the Carnie (Lazlo),67,261,Domestic Short Hair,5/10/21,1,1,1,0,31,6/28/21,6/28/21,8 months.,3.5
16832,23675,12712,The Wolf Man (Thomas),68,252,Domestic Medium Hair,8/19/21,1,1,1,0,32,10/14/21,10/14/21,8 months.,3.9
16243,22901,12502,Frose,1,261,Domestic Short Hair,4/22/21,0,1,1,0,34,8/26/21,8/26/21,8 months.,3.1
16419,23142,12598,Lex Murphy,85,315,Siamese Mix,9/16/20,0,1,1,0,19,9/16/21,9/16/21,1 year 0 months.,7.3
16331,23210,12599,Dr. Ellie Sattler,64,261,Domestic Short Hair,9/16/19,0,1,1,0,19,9/16/21,9/16/21,2 years 0 months.,7.8
7624,10901,5823,Anthony,79,252,Domestic Medium Hair,2/20/18,1,1,1,0,17,11/9/18,11/9/18,2 years 11 months.,9.25
17269,24190,12806,Baby Bella,64,261,Domestic Short Hair,6/17/21,0,1,1,0,19,11/13/21,11/13/21,8 months.,7.3
16198,22775,12356,Julia Cleary,3,261,Domestic Short Hair,4/1/21,0,1,1,0,32,8/5/21,8/5/21,8 months.,3.1
5852,21849,11707,Sega,67,252,Domestic Medium Hair,3/24/21,0,1,1,0,32,5/5/21,5/5/21,8 months.,2.6
4676,24002,10543,Tabitha,74,261,Domestic Short Hair,10/9/06,0,1,1,0,11,10/16/20,10/16/20,15 years 8 months.,10.5
14364,20136,10996,Eponine (Clementine),74,261,Domestic Short Hair,10/30/20,0,1,1,0,32,1/8/21,1/8/21,1 year 3 months.,3.5
14935,20883,11091,Stud Muffin,3,261,Domestic Short Hair,10/20/20,1,1,1,0,32,1/29/21,1/29/21,8 months.,5.4
13763,19389,10602,Lady,66,243,Domestic Long Hair,8/29/20,0,1,1,0,35,10/19/20,10/19/20,8 months.,2.6
6831,9628,5133,Funshine,81,261,Domestic Short Hair,2/28/18,0,1,1,0,10,6/20/18,6/20/18,3 years 3 months.,4.7
16336,23221,12509,Strawberry Moon,96,261,Domestic Short Hair,2/27/21,1,1,1,0,9,8/28/21,8/28/21,8 months.,7.3
15668,22970,12238,Coconut Cream,2,252,Domestic Medium Hair,7/23/18,1,2,1,0,9,8/13/21,8/13/21,3 years 1 month.,11.4
12483,18170,10080,Monica Geller,64,261,Domestic Short Hair,6/10/20,0,1,1,0,35,8/21/20,8/21/20,10 months.,2.1
16788,23960,12442,Ghoulfriend,68,261,Domestic Short Hair,8/9/21,0,1,1,0,19,8/20/21,8/20/21,8 months.,2
17778,24843,13237,Midnight Mistress,1,243,Domestic Long Hair,3/29/18,0,1,1,0,10,3/29/22,3/29/22,4 years 1 month.,6.8
16478,23214,12437,Batman,3,261,Domestic Short Hair,1/20/21,1,1,1,0,9,8/20/21,8/20/21,8 months.,7.2
10627,19985,10758,Bartelby Armorfist (Farty Cakes),68,261,Domestic Short Hair,11/11/18,1,1,1,0,24,11/11/20,11/11/20,2 years 5 months.,8.2
10768,24585,13143,Swiffer,88,243,Domestic Long Hair,7/6/21,0,1,1,0,10,3/1/22,3/1/22,8 months.,6.4
17903,25043,12468,Moonchild Corneille,66,261,Domestic Short Hair,6/15/21,0,1,1,0,9,8/23/21,5/30/22,1 year 1 month.,9.2
1271,23135,12468,Moonchild Corneille,66,261,Domestic Short Hair,6/15/21,0,1,1,0,9,8/23/21,5/30/22,1 year 1 month.,9.2
14745,20626,11270,Mother May I,85,315,Siamese Mix,12/31/20,0,1,1,0,32,2/25/21,2/25/21,8 months.,3
14434,20768,11242,Thumper,62,261,Domestic Short Hair,12/31/20,1,1,1,0,32,2/11/21,2/11/21,8 months.,2.3
15484,21710,11813,Nacho,1,261,Domestic Short Hair,3/23/21,1,1,1,0,32,5/18/21,5/18/21,8 months.,2.9
12418,17493,9705,Leonardo (Wesley),68,261,Domestic Short Hair,5/1/20,1,1,1,0,35,7/7/20,7/7/20,1 year 11 months.,2.6
16211,22824,12129,Chittenango,67,261,Domestic Short Hair,6/18/21,1,1,1,0,31,7/8/21,7/8/21,8 months.,2
14395,20184,11046,Violet Crawley,68,261,Domestic Short Hair,1/13/19,0,1,1,0,2,1/13/21,1/13/21,2 years 2 months.,7.2
16593,23587,12727,Cranberry,74,261,Domestic Short Hair,8/24/21,0,1,1,0,19,11/5/21,11/5/21,8 months.,2.9
101,24471,4260,Janet,75,261,Domestic Short Hair,11/13/09,0,1,1,0,19,12/18/17,3/1/22,12 years 3 months.,7.8
5941,8162,4260,Janet,75,261,Domestic Short Hair,11/13/09,0,1,1,0,19,12/18/17,3/1/22,12 years 3 months.,7.8
15383,21569,11704,Maxis,68,261,Domestic Short Hair,3/17/21,0,1,1,0,32,5/5/21,5/5/21,8 months.,2.6
113,23054,12165,Fun Size,68,252,Domestic Medium Hair,6/14/21,1,1,1,0,19,7/12/21,7/12/21,8 months.,2.8
15036,21221,10651,Crawdad Mike,3,261,Domestic Short Hair,10/23/15,1,1,1,0,8,11/3/20,11/3/20,5 years 7 months.,14.1
7179,10947,6099,Scrambles,63,261,Domestic Short Hair,10/19/14,1,2,1,0,24,10/19/18,10/19/18,4 years 2 months.,10.6
13342,19123,10343,Port Arthur,63,261,Domestic Short Hair,8/30/20,0,1,1,0,35,9/9/20,9/9/20,8 months.,2.9
16606,23381,12594,Dr. Alan Grant,62,261,Domestic Short Hair,9/16/18,1,1,1,1,10,9/16/21,9/16/21,3 years 0 months.,15.8
15505,21735,11665,Kraber,3,243,Domestic Long Hair,4/8/19,1,2,2,0,35,5/6/21,5/6/21,2 years 2 months.,11.3
12440,17504,9226,General Bojangles,107,261,Domestic Short Hair,5/15/17,1,2,1,0,32,5/27/20,5/27/20,3 years 10 months.,13.4
17275,24252,4041,Lilo,94,261,Domestic Short Hair,5/25/17,1,1,1,0,3,10/16/17,12/31/21,4 years 8 months.,9.9
14433,20350,4041,Lilo,94,261,Domestic Short Hair,5/25/17,1,1,1,0,3,10/16/17,12/31/21,4 years 8 months.,9.9
6109,8396,4041,Lilo,94,261,Domestic Short Hair,5/25/17,1,1,1,0,3,10/16/17,12/31/21,4 years 8 months.,9.9
15506,21825,11776,Bo-Katan,68,261,Domestic Short Hair,4/5/21,0,1,1,0,32,5/16/21,5/16/21,8 months.,2.2
16574,23366,12528,Vanilla Thunder (Sauna),3,261,Domestic Short Hair,5/10/21,0,1,1,0,9,9/17/21,9/17/21,8 months.,5.3
15135,21167,11530,Howie Mandel,3,252,Domestic Medium Hair,4/1/19,1,1,1,0,2,4/7/21,4/7/21,2 years 3 months.,10.8
15101,24097,12833,Cayenne Pepper (AJ),67,261,Domestic Short Hair,8/23/21,1,1,1,0,19,11/10/21,11/10/21,8 months.,3.8
17887,25032,13295,Potato Chip,3,243,Domestic Long Hair,1/12/22,0,1,1,0,19,4/14/22,4/14/22,6 months.,4.3
18224,25571,13697,Gray Catbird,62,261,Domestic Short Hair,1/28/22,1,1,1,0,9,6/21/22,6/21/22,24 weeks.,6.3
17836,24918,13323,Cottonwood,67,243,Domestic Long Hair,2/22/22,1,1,1,0,19,4/18/22,4/18/22,21 weeks.,3.1
17945,25121,13306,Oh Henry,68,261,Domestic Short Hair,4/14/21,1,1,1,0,9,4/14/22,4/14/22,1 year 1 month.,6.6
